merchant_slug,merchant_name,category,description,contact_email,contact_phone,website,zone,featured,listing_title,listing_description
buah-segar-bar,Buah Segar Bar,Drinks,"Fresh fruit juices, smoothies, and sparkling coolers.",hello@buah-segar-bar.example,+60 16-1029 2029,https://buah-segar-bar.example,Zone F,no,,
soda-rempah,Soda Rempah,Drinks,Botanical sodas infused with local herbs and spices.,hello@soda-rempah.example,+60 17-1030 2030,https://soda-rempah.example,Zone F,no,,
cendol-kampung,Cendol Kampung,Desserts,Traditional cendol with rich gula Melaka.,hello@cendol-kampung.example,+60 18-1031 2031,https://cendol-kampung.example,Zone G,yes,Cendol Kampung,Festival favourite serving a special KL Weekend Flavours menu.
ais-kacang-club,Ais Kacang Club,Desserts,Colourful shaved ice with classic and modern toppings.,hello@ais-kacang-club.example,+60 11-1032 2032,https://ais-kacang-club.example,Zone G,no,,
kuih-kita,Kuih Kita,Desserts,Handmade Malaysian kuih in familiar and seasonal flavours.,hello@kuih-kita.example,+60 12-1033 2033,https://kuih-kita.example,Zone G,no,,
churros-chow,Churros Chow,Desserts,Fresh churros served hot with dipping sauces.,hello@churros-chow.example,+60 13-1034 2034,https://churros-chow.example,Zone G,no,,
soft-serve-social,Soft Serve Social,Desserts,Creamy soft serve with rotating local flavours.,hello@soft-serve-social.example,+60 14-1035 2035,https://soft-serve-social.example,Zone G,no,,
plant-powered-bowl,Plant Powered Bowl,Vegetarian,Colourful plant-based bowls with Malaysian ingredients.,hello@plant-powered-bowl.example,+60 15-1036 2036,https://plant-powered-bowl.example,Zone H,yes,Plant Powered Bowl,Festival favourite serving a special KL Weekend Flavours menu.
green-wrap-cafe,Green Wrap Cafe,Vegetarian,"Fresh wraps, salads, and light festival meals.",hello@green-wrap-cafe.example,+60 16-1037 2037,https://green-wrap-cafe.example,Zone H,no,,
sourdough-society,Sourdough Society,Bakery,Naturally fermented breads and filled sourdough sandwiches.,hello@sourdough-society.example,+60 17-1038 2038,https://sourdough-society.example,Zone H,no,,
cookie-atelier-kl,Cookie Atelier KL,Bakery,Thick-baked cookies with premium fillings.,hello@cookie-atelier-kl.example,+60 18-1039 2039,https://cookie-atelier-kl.example,Zone H,no,,
bunga-craft-market,Bunga Craft Market,Lifestyle,"Local gifts, floral crafts, and festival keepsakes.",hello@bunga-craft-market.example,+60 11-1040 2040,https://bunga-craft-market.example,Zone H,yes,Bunga Craft Market,Festival favourite serving a special KL Weekend Flavours menu.
