merchant_slug,item_name,description,price,promo_price,currency,dietary_tags,is_halal,availability,display_order
little-ipoh-noodles,Dry Curry Chicken Noodles,Springy noodles tossed in creamy curry sauce.,14.00,,MYR,spicy,yes,available,2
mamak-express,Roti Canai Set,Two roti canai with dhal and curry.,7.00,,MYR,vegetarian;contains gluten,yes,available,1
mamak-express,Mee Goreng Mamak,"Wok-fried noodles with tofu, potato, and egg.",12.00,10.00,MYR,spicy;contains egg,yes,available,2
spice-route-briyani,Chicken Dum Briyani,Basmati rice layered with spiced chicken.,17.00,,MYR,,yes,available,1
spice-route-briyani,Vegetable Dum Briyani,"Basmati rice with vegetables, herbs, and raita.",14.00,,MYR,vegetarian;contains dairy,yes,available,2
banana-leaf-brothers,Banana Leaf Rice,"Rice, three vegetables, dhal, rasam, and papadom.",13.00,,MYR,vegetarian,yes,available,1
banana-leaf-brothers,Mutton Curry Add-On,Slow-cooked mutton curry portion.,12.00,,MYR,spicy,yes,available,2
tandoor-lane,Chicken Tikka Wrap,"Tandoori chicken, salad, and mint sauce in naan.",16.00,,MYR,contains dairy;contains gluten,yes,available,1
tandoor-lane,Paneer Tikka Plate,Grilled paneer with peppers and mint chutney.,18.00,16.00,MYR,vegetarian;contains dairy,yes,available,2
chaat-street-kl,Pani Puri,Six crisp shells with potato filling and spiced water.,9.00,,MYR,vegetarian,yes,available,1
chaat-street-kl,Loaded Samosa Chaat,"Samosa, chickpeas, yoghurt, chutney, and sev.",12.00,,MYR,vegetarian;contains dairy,yes,available,2
seoul-bites,Korean Fried Chicken Cup,Crispy chicken bites with sweet-spicy glaze.,15.00,,MYR,spicy,yes,available,1
seoul-bites,Tteokbokki,Rice cakes in a bold gochujang sauce.,12.00,10.00,MYR,spicy,yes,available,2
tokyo-grill-box,Teriyaki Chicken Don,"Grilled chicken, rice, vegetables, and teriyaki sauce.",17.00,,MYR,,yes,available,1
tokyo-grill-box,Beef Yakiniku Don,Savoury grilled beef over Japanese rice.,20.00,,MYR,,yes,available,2
thai-basil-kitchen,Pad Kra Pao Chicken,Basil chicken with rice and fried egg.,15.00,,MYR,spicy;contains egg,yes,available,1
thai-basil-kitchen,Thai Green Curry,"Green curry with chicken, vegetables, and rice.",16.00,14.00,MYR,spicy,yes,available,2
saigon-rolls,Fresh Prawn Rolls,"Two rice-paper rolls with prawns, herbs, and dipping sauce.",11.00,,MYR,contains shellfish,yes,available,1
saigon-rolls,Lemongrass Chicken Banh Mi,"Crisp baguette with chicken, pickles, and herbs.",14.00,,MYR,contains gluten,yes,available,2
taipei-night-snacks,XXL Chicken Cutlet,Crispy Taiwanese chicken cutlet with pepper seasoning.,16.00,,MYR,spicy,yes,available,1
taipei-night-snacks,Sweet Potato Balls,Crispy chewy sweet potato bites.,8.00,,MYR,vegetarian,yes,available,2
burger-bengkel,Sambal Smash Burger,"Beef patty, cheese, sambal mayo, and pickles.",19.00,17.00,MYR,spicy;contains dairy,yes,available,1
burger-bengkel,Crispy Chicken Burger,"Fried chicken, slaw, and smoky sauce.",17.00,,MYR,contains gluten,yes,available,2
firewood-pizza-co,Margherita Pizza,"Tomato, mozzarella, basil, and olive oil.",22.00,,MYR,vegetarian;contains dairy,yes,available,1
firewood-pizza-co,Spicy Beef Pepperoni Pizza,"Mozzarella, beef pepperoni, chilli, and honey.",28.00,25.00,MYR,spicy;contains dairy,yes,available,2
taco-lokal,Rendang Beef Tacos,Two soft tacos with beef rendang and pickled onions.,16.00,,MYR,spicy;contains gluten,yes,available,1
taco-lokal,Tempeh Sambal Tacos,Two vegetarian tacos with tempeh and sambal.,14.00,,MYR,spicy;vegetarian;contains gluten,yes,available,2
smokehouse-yard,Smoked Beef Brisket Box,"Beef brisket, slaw, pickles, and soft roll.",28.00,,MYR,,yes,available,1
smokehouse-yard,Smoked Chicken Quarter,Smoked chicken with barbecue glaze and corn.,22.00,20.00,MYR,,yes,available,2
loaded-fries-lab,Cheesy Beef Fries,Fries loaded with minced beef and cheese sauce.,15.00,,MYR,contains dairy,yes,available,1
loaded-fries-lab,Salted Egg Fries,Crispy fries tossed in salted egg seasoning.,13.00,,MYR,contains egg,yes,available,2
teh-tarik-studio,Classic Teh Tarik,Pulled milk tea served hot or iced.,5.00,,MYR,vegetarian;contains dairy,yes,available,1
teh-tarik-studio,Teh Tarik Gula Melaka,Pulled milk tea with palm sugar syrup.,7.00,6.00,MYR,vegetarian;contains dairy,yes,available,2
kopi-kecil,Iced Kopi Susu,Strong local coffee with condensed milk.,7.00,,MYR,vegetarian;contains dairy,yes,available,1
kopi-kecil,Gula Melaka Cold Brew,Cold brew with palm sugar and fresh milk.,10.00,,MYR,vegetarian;contains dairy,yes,available,2
matcha-mori,Ceremonial Matcha Latte,Freshly whisked matcha with milk.,12.00,,MYR,vegetarian;contains dairy,yes,available,1
matcha-mori,Strawberry Matcha,Layered strawberry milk and premium matcha.,14.00,12.00,MYR,vegetarian;contains dairy,yes,available,2
buah-segar-bar,Mango Passion Cooler,"Mango, passion fruit, lime, and soda.",10.00,,MYR,vegan,yes,available,1
buah-segar-bar,Watermelon Mint Juice,Fresh watermelon blended with mint.,8.00,,MYR,vegan,yes,available,2
soda-rempah,Lemongrass Ginger Soda,Sparkling soda with lemongrass and ginger.,9.00,,MYR,vegan,yes,available,1
soda-rempah,Asam Boi Calamansi Fizz,Tangy calamansi soda with preserved plum.,9.00,8.00,MYR,vegan,yes,available,2
cendol-kampung,Classic Cendol,"Coconut milk, gula Melaka, pandan jelly, and shaved ice.",7.00,,MYR,vegetarian,yes,available,1
cendol-kampung,Durian Cendol,Classic cendol topped with durian pulp.,13.00,,MYR,vegetarian,yes,available,2
ais-kacang-club,Classic ABC,"Shaved ice with syrup, corn, beans, jelly, and peanuts.",8.00,,MYR,vegetarian;contains nuts,yes,available,1
ais-kacang-club,Mango Snow Ice,Fine shaved ice with mango and popping pearls.,11.00,9.00,MYR,vegetarian,yes,available,2
kuih-kita,Kuih Tasting Box,Six assorted traditional Malaysian kuih.,12.00,,MYR,vegetarian,yes,available,1
kuih-kita,Ondeh-Ondeh Cup,Pandan rice balls filled with molten gula Melaka.,8.00,,MYR,vegetarian,yes,available,2
churros-chow,Cinnamon Churros,Six churros with chocolate dip.,10.00,,MYR,vegetarian;contains gluten,yes,available,1
churros-chow,Pandan Churros,Pandan churros with gula Melaka dip.,12.00,10.00,MYR,vegetarian;contains gluten,yes,available,2
soft-serve-social,Gula Melaka Soft Serve,Creamy soft serve with gula Melaka drizzle.,9.00,,MYR,vegetarian;contains dairy,yes,available,1
soft-serve-social,Pandan Coconut Sundae,Pandan soft serve with coconut flakes.,12.00,,MYR,vegetarian;contains dairy,yes,available,2
plant-powered-bowl,Tempeh Satay Bowl,"Brown rice, tempeh, vegetables, and peanut dressing.",16.00,,MYR,vegan;contains nuts,yes,available,1
plant-powered-bowl,Jackfruit Rendang Bowl,Spiced jackfruit rendang with turmeric rice.,17.00,15.00,MYR,vegan;spicy,yes,available,2
green-wrap-cafe,Grilled Vegetable Wrap,"Grilled vegetables, hummus, and greens.",14.00,,MYR,vegan;contains gluten,yes,available,1
green-wrap-cafe,Herbed Chicken Wrap,"Chicken, lettuce, tomato, and yoghurt dressing.",16.00,,MYR,contains dairy;contains gluten,yes,available,2
sourdough-society,Chicken Pesto Sourdough,"Toasted sourdough with chicken, pesto, and cheese.",18.00,,MYR,contains gluten;contains dairy;contains nuts,yes,available,1
sourdough-society,Mushroom Melt Sourdough,"Mushrooms, caramelised onions, and cheese.",16.00,14.00,MYR,vegetarian;contains gluten;contains dairy,yes,available,2
cookie-atelier-kl,Dark Chocolate Chunk Cookie,Thick cookie with dark chocolate chunks.,8.00,,MYR,vegetarian;contains gluten;contains dairy,yes,available,1
cookie-atelier-kl,Pistachio Cream Cookie,Cookie filled with pistachio cream.,11.00,,MYR,vegetarian;contains gluten;contains dairy;contains nuts,yes,sold_out,2
bunga-craft-market,Mini Dried Flower Bouquet,Hand-tied dried flower bouquet.,25.00,,MYR,,yes,available,1
bunga-craft-market,KL Festival Postcard Set,Set of five illustrated Kuala Lumpur postcards.,12.00,10.00,MYR,,yes,available,2
