merchant_slug,title,description,terms,type,discount_percent,discount_amount,min_spend,total_quantity,per_visitor_limit,starts_date,ends_date,status
taipei-night-snacks,Festival Bundle at Taipei Night Snacks,Unlock a special two-item festival bundle from Taipei Night Snacks.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bundle,,,20.00,50,1,2026-08-21,2026-08-23,active
burger-bengkel,10% Off at Burger Bengkel,Enjoy 10% off one order from Burger Bengkel.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_percent,10,,15.00,75,1,2026-08-21,2026-08-23,active
firewood-pizza-co,RM5 Off at Firewood Pizza Co.,Save RM5 on one qualifying order from Firewood Pizza Co..,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_amount,,5.00,20.00,100,1,2026-08-21,2026-08-23,active
taco-lokal,Free Festival Treat from Taco Lokal,Receive a complimentary selected treat with a qualifying purchase from Taco Lokal.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,freebie,,,18.00,125,1,2026-08-21,2026-08-23,active
smokehouse-yard,Buy One Get One at Smokehouse Yard,Buy one selected item and receive a second selected item free at Smokehouse Yard.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bogo,,,,150,1,2026-08-21,2026-08-23,active
loaded-fries-lab,Festival Bundle at Loaded Fries Lab,Unlock a special two-item festival bundle from Loaded Fries Lab.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bundle,,,20.00,50,1,2026-08-21,2026-08-23,active
teh-tarik-studio,20% Off at Teh Tarik Studio,Enjoy 20% off one order from Teh Tarik Studio.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_percent,20,,15.00,75,1,2026-08-21,2026-08-23,active
kopi-kecil,RM3 Off at Kopi Kecil,Save RM3 on one qualifying order from Kopi Kecil.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_amount,,3.00,12.00,100,1,2026-08-21,2026-08-23,active
matcha-mori,Free Festival Treat from Matcha Mori,Receive a complimentary selected treat with a qualifying purchase from Matcha Mori.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,freebie,,,18.00,125,1,2026-08-21,2026-08-23,active
buah-segar-bar,Buy One Get One at Buah Segar Bar,Buy one selected item and receive a second selected item free at Buah Segar Bar.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bogo,,,,150,1,2026-08-21,2026-08-23,active
soda-rempah,Festival Bundle at Soda Rempah,Unlock a special two-item festival bundle from Soda Rempah.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bundle,,,20.00,50,1,2026-08-21,2026-08-23,active
cendol-kampung,15% Off at Cendol Kampung,Enjoy 15% off one order from Cendol Kampung.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_percent,15,,15.00,75,1,2026-08-21,2026-08-23,active
ais-kacang-club,RM8 Off at Ais Kacang Club,Save RM8 on one qualifying order from Ais Kacang Club.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_amount,,8.00,32.00,100,1,2026-08-21,2026-08-23,active
kuih-kita,Free Festival Treat from Kuih Kita,Receive a complimentary selected treat with a qualifying purchase from Kuih Kita.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,freebie,,,18.00,125,1,2026-08-21,2026-08-23,active
churros-chow,Buy One Get One at Churros Chow,Buy one selected item and receive a second selected item free at Churros Chow.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bogo,,,,150,1,2026-08-21,2026-08-23,active
soft-serve-social,Festival Bundle at Soft Serve Social,Unlock a special two-item festival bundle from Soft Serve Social.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bundle,,,20.00,50,1,2026-08-21,2026-08-23,active
plant-powered-bowl,10% Off at Plant Powered Bowl,Enjoy 10% off one order from Plant Powered Bowl.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_percent,10,,15.00,75,1,2026-08-21,2026-08-23,active
green-wrap-cafe,RM5 Off at Green Wrap Cafe,Save RM5 on one qualifying order from Green Wrap Cafe.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_amount,,5.00,20.00,100,1,2026-08-21,2026-08-23,active
sourdough-society,Free Festival Treat from Sourdough Society,Receive a complimentary selected treat with a qualifying purchase from Sourdough Society.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,freebie,,,18.00,125,1,2026-08-21,2026-08-23,active
cookie-atelier-kl,Buy One Get One at Cookie Atelier KL,Buy one selected item and receive a second selected item free at Cookie Atelier KL.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bogo,,,,150,1,2026-08-21,2026-08-23,active
bunga-craft-market,Festival Bundle at Bunga Craft Market,Unlock a special two-item festival bundle from Bunga Craft Market.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bundle,,,20.00,50,1,2026-08-21,2026-08-23,active
